id,model,provider,strategy,post,true_sentiment,true_topic,raw_output,pred_sentiment,pred_topic,latency_seconds,error
1,gemini-flash-lite-latest,gemini,zero_shot,This dude next to me is holding and using an iPad 2 like it's a trophy. #sxsw #lookingforwardtothemusicfest,positive,iPad,"{""id"": 1, ""sentiment"": ""neutral"", ""topic"": ""iPad""}",neutral,iPad,0.0623807027664346,
2,gemini-flash-lite-latest,gemini,zero_shot,RT @mention I hope everyone has an awesome weekend at #SXSW! I know @mention is giving away some great Apple prizes.,positive,Apple,"{""id"": 2, ""sentiment"": ""positive"", ""topic"": ""Apple""}",positive,Apple,0.0623807027664346,
3,gemini-flash-lite-latest,gemini,zero_shot,RT @mention line moving fast! Rt @mention have seen two impressive lines since I'm at #SXSW the one at the Apple Store & @mention party now,positive,Apple,"{""id"": 3, ""sentiment"": ""positive"", ""topic"": ""Apple""}",positive,Apple,0.0623807027664346,
4,gemini-flash-lite-latest,gemini,zero_shot,Last minute flight change to #sxsw means I can pick up an iPad 2 before I leave! #fb,positive,iPad,"{""id"": 4, ""sentiment"": ""positive"", ""topic"": ""iPad""}",positive,iPad,0.0623807027664346,
5,gemini-flash-lite-latest,gemini,zero_shot,"YES RT @mention LoL U r gadgetzilla! Have fun! @mention It's #SXSW Festival time. OMG I'm scared! Got my netbook, #iPad & my droid!",positive,iPad,"{""id"": 5, ""sentiment"": ""positive"", ""topic"": ""iPad""}",positive,iPad,0.0623807027664346,
6,gemini-flash-lite-latest,gemini,zero_shot,"bored at #SxSW, try this iphone app: {link}",positive,iPad or iPhone App,"{""id"": 6, ""sentiment"": ""neutral"", ""topic"": ""iPad or iPhone App""}",neutral,iPad or iPhone App,0.0623807027664346,
7,gemini-flash-lite-latest,gemini,zero_shot,Holler Gram for iPad on the iTunes App Store: {link} via @mention all you #SXSW-sters great App from #MadebyMany - Free,positive,iPad or iPhone App,"{""id"": 7, ""sentiment"": ""positive"", ""topic"": ""iPad or iPhone App""}",positive,iPad or iPhone App,0.0623807027664346,
8,gemini-flash-lite-latest,gemini,zero_shot,"All this #sxsw gadget lust is rubbing off on me, I think I want an iPad 2... must escape soon!",positive,iPad,"{""id"": 8, ""sentiment"": ""neutral"", ""topic"": ""iPad""}",neutral,iPad,0.0623807027664346,
9,gemini-flash-lite-latest,gemini,zero_shot,"#GoogleDoodle #sxsw Google Doodles, simple on the surface, complex and intricate underneath.",positive,Other Google product or service,"{""id"": 9, ""sentiment"": ""positive"", ""topic"": ""Google""}",positive,Google,0.0623807027664346,
10,gemini-flash-lite-latest,gemini,zero_shot,keep up with new on #Japan quake from iPhone at #SXSW - NHK World TV Live {link},positive,iPhone,"{""id"": 10, ""sentiment"": ""neutral"", ""topic"": ""iPhone""}",neutral,iPhone,0.0623807027664346,
11,gemini-flash-lite-latest,gemini,zero_shot,@mention really disappointed with the iPad app - lots of error messages have to switch to tweet deck for the rest of #sxsw,negative,iPad or iPhone App,"{""id"": 11, ""sentiment"": ""negative"", ""topic"": ""iPad or iPhone App""}",negative,iPad or iPhone App,0.0623807027664346,
12,gemini-flash-lite-latest,gemini,zero_shot,"Overheard at #sxsw interactive: ""Arg! I hate the iphone! I want my blackberry back"" #shocked",negative,iPhone,"{""id"": 12, ""sentiment"": ""negative"", ""topic"": ""iPhone""}",negative,iPhone,0.0623807027664346,
13,gemini-flash-lite-latest,gemini,zero_shot,Apple takes bruises from panelists. Not well regarded in sustainability space. Corporate Sustainability Reporting and Transparency. #SXSW,negative,Apple,"{""id"": 13, ""sentiment"": ""negative"", ""topic"": ""Apple""}",negative,Apple,0.0623807027664346,
14,gemini-flash-lite-latest,gemini,zero_shot,"Okay, fair enough lining up for new tech, but not at the cost of #sxsw... It is so much better than a new iPad... {link}",negative,iPad,"{""id"": 14, ""sentiment"": ""neutral"", ""topic"": ""iPad""}",neutral,iPad,0.0623807027664346,
15,gemini-flash-lite-latest,gemini,zero_shot,People in this Apple store do not...smell great. #sxsw #hereforwork #nottheipad2,negative,Apple,"{""id"": 15, ""sentiment"": ""negative"", ""topic"": ""Apple""}",negative,Apple,0.0623807027664346,
